iata_code,name,name_sv,latitude,longitude
AAA,Anaa Airport,,-17.352606,-145.509956
AAB,Arrabury Airport,,-26.69317,141.0478
AAC,El Arish International Airport,,31.07333,33.83583
AAD,Adado Airport,,6.09682,46.63825
AAD,Ad Dabbah Airport,,18.05,30.95
AAE,Rabah Bitat Annaba Airport,,36.822225,7.809167
AAF,Apalachicola Municipal Airport,,29.72938,-85.0288
AAG,Avelino Vieira Airport,,-24.10312,-49.78931
AAH,Aachen-Merzbrück Airport,,50.82345,6.18844
AAI,Arraias Airport,,-13.02389,-46.88556
AAJ,Cayana Airstrip,,3.89789,-55.57889
AAK,Aranuka Airport,,0.18544,173.63536
AAL,Aalborg Airport,Ålborgs flygplats,57.092789,9.849164
AAM,Malamala Airport,,-24.8181,31.5446
AAN,Al Ain International Airport,,24.26167,55.60917
AAO,Anaco Airport,,9.43056,-64.47159
AAP,Andrau Airpark,,29.64897,-95.29936
AAQ,Anapa Airport,,45.0021,37.34727
AAR,Aarhus Airport,Århus flygplats,56.3023,10.62627
AAS,Apalapsili Airport,,-3.917,139.3
AAT,Altay Airport,,47.75223,88.08738
AAU,Asau Airport,,-13.505,-172.62777
AAV,Allah Valley Airport,,6.36667,124.73333
AAW,Abbottabad Airport,,34.2,73.25
AAX,Araxá Airport,,-19.5632,-46.9604
AAY,Al Ghaidah International Airport,,16.1917,52.175
AAZ,Quezaltenango,,14.86,-91.5
ABA,Abakan International Airport,,53.74,91.385
ABB,Asaba International Airport,,6.20856,6.66108
ABB,RAF Abingdon,,51.53,-0.3
ABC,Albacete Airport,Albacete flygplats,38.94853,-1.86352
ABD,Abadan International Airport,,30.371111,48.228333
ABE,Lehigh Valley International Airport,,40.65253,-75.43554
ABF,Abaiang Atoll Airport,,1.79807,173.04214
ABG,Abingdon Airport,,-17.60856,143.18389
ABH,Alpha Airport,,-23.646111,146.583611
ABI,Abilene Regional Airport,,32.41124,-99.68203
ABJ,Port Bouet Airport,,5.26139,-3.92629
ABK,Kabri Dar Airport,,6.73255,44.24104
ABL,Ambler Airport,,67.10154,-157.85821
ABM,Northern Peninsula Airport,,-10.9508,142.459
ABN,Albina Airstrip,,5.51279,-54.05012
ABO,Aboisso Airport,,5.467,-3.2
ABP,Atkamba Airport,,-6.067,141.1
ABQ,Albuquerque International Airport,,35.04199,-106.60697
ABR,Aberdeen Regional Airport,,45.4497,-98.42148
ABS,Abu Simbel Airport,,22.37571,31.6117
ABT,Al-Baha Domestic Airport,,20.29513,41.64016
ABU,Haliwen Airport,,-9.07468,124.90477
ABV,Nnamdi Azikiwe International Airport,,9.00657,7.26419
ABW,Abau Airport,,-10.17,148.7
ABX,Albury Airport,,-36.06778,146.95806
